0.000000000000000000e+00,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01,4.985998212231379512e-01
2.120046418516153608e+00,0.000000000000000000e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00,2.120046418516153608e+00
2.695674208040259145e+00,2.695674208040259145e+00,0.000000000000000000e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00,2.695674208040259145e+00
3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,0.000000000000000000e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00,3.342123101529068663e+00
6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,0.000000000000000000e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00,6.181063125197510999e+00
7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,0.000000000000000000e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00,7.228398689743357863e+00
8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,0.000000000000000000e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00,8.183766147007759173e+00
8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,0.000000000000000000e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00,8.529674028118506612e+00
1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,0.000000000000000000e+00,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01,1.084930980892681873e+01
1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,0.000000000000000000e+00,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01,1.193442581343822440e+01
